2025-09-05 11:15:00,11510.261535220625
2025-09-05 11:16:00,11510.261535220625
2025-09-05 11:17:00,11510.261535220625
2025-09-05 11:18:00,11510.261535220625
2025-09-05 11:19:00,11510.261535220625
2025-09-05 11:20:00,11510.261535220625
2025-09-05 11:21:00,11469.064254977586
2025-09-05 11:22:00,11469.064254977586
2025-09-05 11:23:00,11469.064254977586
2025-09-05 11:24:00,11469.064254977586
2025-09-05 11:25:00,11469.064254977586
2025-09-05 11:26:00,11555.103801876407
2025-09-05 11:27:00,11555.103801876407
2025-09-05 11:28:00,11555.103801876407
2025-09-05 11:29:00,11555.103801876407
2025-09-05 11:30:00,11555.103801876407
2025-09-05 11:31:00,11555.103801876407
2025-09-05 11:32:00,11555.103801876407
2025-09-05 11:33:00,11555.103801876407
2025-09-05 11:34:00,11555.103801876407
2025-09-05 11:35:00,11572.621039467795
2025-09-05 11:36:00,11572.621039467795
2025-09-05 11:37:00,11572.621039467795
2025-09-05 11:38:00,11572.621039467795
2025-09-05 11:39:00,11572.621039467795
2025-09-05 11:40:00,11614.56497237802
2025-09-05 11:41:00,11614.56497237802
2025-09-05 11:42:00,11614.56497237802
2025-09-05 11:43:00,11614.56497237802
2025-09-05 11:44:00,11614.56497237802
2025-09-05 11:45:00,11614.56497237802
2025-09-05 11:46:00,11614.56497237802
2025-09-05 11:47:00,11614.56497237802
2025-09-05 11:48:00,11614.56497237802
2025-09-05 11:49:00,11614.56497237802
2025-09-05 11:50:00,11560.753361922712
2025-09-05 11:51:00,11560.753361922712
2025-09-05 11:52:00,11641.972295816206
2025-09-05 11:53:00,11641.972295816206
2025-09-05 11:54:00,11641.972295816206
2025-09-05 11:55:00,11641.972295816206
2025-09-05 11:56:00,11641.972295816206
2025-09-05 11:57:00,11641.972295816206
2025-09-05 11:58:00,11641.972295816206
2025-09-05 11:59:00,11641.972295816206
2025-09-05 12:00:00,11641.972295816206
2025-09-05 12:01:00,11641.972295816206
2025-09-05 12:02:00,11641.972295816206
2025-09-05 12:03:00,11641.972295816206
2025-09-05 12:04:00,11641.972295816206
2025-09-05 12:05:00,11641.972295816206
2025-09-05 12:06:00,11641.972295816206
2025-09-05 12:07:00,11641.972295816206
2025-09-05 12:08:00,11641.972295816206
2025-09-05 12:09:00,11641.972295816206
2025-09-05 12:10:00,11641.972295816206
2025-09-05 12:11:00,11641.972295816206
2025-09-05 12:12:00,11641.972295816206
2025-09-05 12:13:00,11694.312239605131
2025-09-05 12:14:00,11694.312239605131
2025-09-05 12:15:00,11677.527815829297
2025-09-05 12:16:00,11677.527815829297
2025-09-05 12:17:00,11677.527815829297
2025-09-05 12:18:00,11708.172803024048
2025-09-05 12:19:00,11708.172803024048
2025-09-05 12:20:00,11708.172803024048
2025-09-05 12:21:00,11708.172803024048
2025-09-05 12:22:00,11708.172803024048
2025-09-05 12:23:00,11708.172803024048
2025-09-05 12:24:00,11708.172803024048
2025-09-05 12:25:00,11708.172803024048
2025-09-05 12:26:00,11708.172803024048
2025-09-05 12:27:00,11708.172803024048
2025-09-05 12:28:00,11708.172803024048
2025-09-05 12:29:00,11708.172803024048
2025-09-05 12:30:00,11708.172803024048
2025-09-05 12:31:00,11708.172803024048
2025-09-05 12:32:00,11708.172803024048
2025-09-05 12:33:00,11708.172803024048
2025-09-05 12:34:00,11708.172803024048
2025-09-05 12:35:00,11708.172803024048
2025-09-05 12:36:00,11708.172803024048
2025-09-05 12:37:00,11708.172803024048
2025-09-05 12:38:00,11708.172803024048
2025-09-05 12:39:00,11708.172803024048
2025-09-05 12:40:00,11708.172803024048
2025-09-05 12:41:00,11658.600571931758
2025-09-05 12:42:00,11658.600571931758
2025-09-05 12:43:00,11547.535502654144
2025-09-05 12:44:00,11547.535502654144
2025-09-05 12:45:00,11591.511447242665
2025-09-05 12:46:00,11591.511447242665
2025-09-05 12:47:00,11591.511447242665
2025-09-05 12:48:00,11591.511447242665
2025-09-05 12:49:00,11591.511447242665
2025-09-05 12:50:00,11591.511447242665
2025-09-05 12:51:00,11591.511447242665
2025-09-05 12:52:00,11591.511447242665
2025-09-05 12:53:00,11591.511447242665
2025-09-05 12:54:00,11591.511447242665
2025-09-05 12:55:00,11591.511447242665
2025-09-05 12:56:00,11591.511447242665
2025-09-05 12:57:00,11591.511447242665
2025-09-05 12:58:00,11591.511447242665
2025-09-05 12:59:00,11591.511447242665
2025-09-05 13:00:00,11591.511447242665
2025-09-05 13:01:00,11591.511447242665
2025-09-05 13:02:00,11591.511447242665
2025-09-05 13:03:00,11591.511447242665
2025-09-05 13:04:00,11591.511447242665
2025-09-05 13:05:00,11591.511447242665
2025-09-05 13:06:00,11591.511447242665
2025-09-05 13:07:00,11591.511447242665
2025-09-05 13:08:00,11591.511447242665
2025-09-05 13:09:00,11591.511447242665
2025-09-05 13:10:00,11654.872561278093
2025-09-05 13:11:00,11654.872561278093
2025-09-05 13:12:00,11654.872561278093
2025-09-05 13:13:00,11654.872561278093
2025-09-05 13:14:00,11699.900206691109
2025-09-05 13:15:00,11699.900206691109
2025-09-05 13:16:00,11699.900206691109
2025-09-05 13:17:00,11699.900206691109
2025-09-05 13:18:00,11699.900206691109
2025-09-05 13:19:00,11699.900206691109
2025-09-05 13:20:00,11699.900206691109
2025-09-05 13:21:00,11699.900206691109
2025-09-05 13:22:00,11699.900206691109
2025-09-05 13:23:00,11699.900206691109
2025-09-05 13:24:00,11699.900206691109
2025-09-05 13:25:00,11623.298101603425
2025-09-05 13:26:00,11623.298101603425
2025-09-05 13:27:00,11635.284762632735
2025-09-05 13:28:00,11635.284762632735
2025-09-05 13:29:00,11583.151800633299
2025-09-05 13:30:00,11583.151800633299
2025-09-05 13:31:00,11565.22702385096
2025-09-05 13:32:00,11565.22702385096
2025-09-05 13:33:00,11565.22702385096
2025-09-05 13:34:00,11565.22702385096
2025-09-05 13:35:00,11565.22702385096
2025-09-05 13:36:00,11565.22702385096
2025-09-05 13:37:00,11565.22702385096
2025-09-05 13:38:00,11565.22702385096
2025-09-05 13:39:00,11565.22702385096
2025-09-05 13:40:00,11565.22702385096
2025-09-05 13:41:00,11565.22702385096
2025-09-05 13:42:00,11565.22702385096
2025-09-05 13:43:00,11565.22702385096
2025-09-05 13:44:00,11565.22702385096
2025-09-05 13:45:00,11565.22702385096
2025-09-05 13:46:00,11565.22702385096
2025-09-05 13:47:00,11565.22702385096
2025-09-05 13:48:00,11565.22702385096
2025-09-05 13:49:00,11507.325033890897
2025-09-05 13:50:00,11507.325033890897
2025-09-05 13:51:00,11507.325033890897
2025-09-05 13:52:00,11507.325033890897
2025-09-05 13:53:00,11507.325033890897
2025-09-05 13:54:00,11507.325033890897
2025-09-05 13:55:00,11507.325033890897
2025-09-05 13:56:00,11507.325033890897
2025-09-05 13:57:00,11507.325033890897
2025-09-05 13:58:00,11507.325033890897
2025-09-05 13:59:00,11507.325033890897
2025-09-05 14:00:00,11507.325033890897
2025-09-05 14:01:00,11507.325033890897
2025-09-05 14:02:00,11507.325033890897
2025-09-05 14:03:00,11507.325033890897
2025-09-05 14:04:00,11507.325033890897
2025-09-05 14:05:00,11515.019520854175
2025-09-05 14:06:00,11515.019520854175
2025-09-05 14:07:00,11515.019520854175
2025-09-05 14:08:00,11549.186606568972
2025-09-05 14:09:00,11549.186606568972
2025-09-05 14:10:00,11556.70463095043
2025-09-05 14:11:00,11556.70463095043
2025-09-05 14:12:00,11556.70463095043
2025-09-05 14:13:00,11556.70463095043
2025-09-05 14:14:00,11556.70463095043
2025-09-05 14:15:00,11556.70463095043
2025-09-05 14:16:00,11556.70463095043
2025-09-05 14:17:00,11556.70463095043
2025-09-05 14:18:00,11556.70463095043
2025-09-05 14:19:00,11556.70463095043
2025-09-05 14:20:00,11556.70463095043
2025-09-05 14:21:00,11556.70463095043
2025-09-05 14:22:00,11556.70463095043
2025-09-05 14:23:00,11556.70463095043
2025-09-05 14:24:00,11556.70463095043
2025-09-05 14:25:00,11556.70463095043
2025-09-05 14:26:00,11556.70463095043
2025-09-05 14:27:00,11556.70463095043
2025-09-05 14:28:00,11556.70463095043
2025-09-05 14:29:00,11556.70463095043
2025-09-05 14:30:00,11556.70463095043
2025-09-05 14:31:00,11556.70463095043
2025-09-05 14:32:00,11556.70463095043
2025-09-05 14:33:00,11556.70463095043
2025-09-05 14:34:00,11556.70463095043
2025-09-05 14:35:00,11372.434284533414
2025-09-05 14:36:00,11372.434284533414
2025-09-05 14:37:00,11361.433528808762
2025-09-05 14:38:00,11361.433528808762
2025-09-05 14:39:00,11361.433528808762
2025-09-05 14:40:00,11361.433528808762
2025-09-05 14:41:00,11361.433528808762
2025-09-05 14:42:00,11361.433528808762
2025-09-05 14:43:00,11361.433528808762
2025-09-05 14:44:00,11361.433528808762
2025-09-05 14:45:00,11361.433528808762
2025-09-05 14:46:00,11361.433528808762
2025-09-05 14:47:00,11361.433528808762
2025-09-05 14:48:00,11361.433528808762
2025-09-05 14:49:00,11361.433528808762
2025-09-05 14:50:00,11361.433528808762
2025-09-05 14:51:00,11361.433528808762
2025-09-05 14:52:00,11361.433528808762
2025-09-05 14:53:00,11361.433528808762
2025-09-05 14:54:00,11361.433528808762
2025-09-05 14:55:00,11361.433528808762
2025-09-05 14:56:00,11361.433528808762
2025-09-05 14:57:00,11311.86697197104
2025-09-05 14:58:00,11311.86697197104
2025-09-05 14:59:00,11320.297487793936
2025-09-05 15:00:00,11320.297487793936
2025-09-05 15:01:00,11256.233891752647
2025-09-05 15:02:00,11256.233891752647
2025-09-05 15:03:00,11276.177696624549
2025-09-05 15:04:00,11276.177696624549
2025-09-05 15:05:00,11276.177696624549
2025-09-05 15:06:00,11276.177696624549
2025-09-05 15:07:00,11276.177696624549
2025-09-05 15:08:00,11276.177696624549
2025-09-05 15:09:00,11276.177696624549
2025-09-05 15:10:00,11276.177696624549
2025-09-05 15:11:00,11276.177696624549
2025-09-05 15:12:00,11276.177696624549
2025-09-05 15:13:00,11276.177696624549
2025-09-05 15:14:00,11276.177696624549
2025-09-05 15:15:00,11276.177696624549
2025-09-05 15:16:00,11276.177696624549
2025-09-05 15:17:00,11276.177696624549
2025-09-05 15:18:00,11276.177696624549
2025-09-05 15:19:00,11276.177696624549
2025-09-05 15:20:00,11276.177696624549
2025-09-05 15:21:00,11276.177696624549
2025-09-05 15:22:00,11276.177696624549
2025-09-05 15:23:00,11276.177696624549
2025-09-05 15:24:00,11276.177696624549
2025-09-05 15:25:00,11276.177696624549
2025-09-05 15:26:00,11276.177696624549
2025-09-05 15:27:00,11276.177696624549
2025-09-05 15:28:00,11310.343912642602
2025-09-05 15:29:00,11310.343912642602
2025-09-05 15:30:00,11642.994758160825
2025-09-05 15:31:00,11642.994758160825
2025-09-05 15:32:00,11716.399154471468
2025-09-05 15:33:00,11716.399154471468
2025-09-05 15:34:00,11716.399154471468
2025-09-05 15:35:00,11716.399154471468
2025-09-05 15:36:00,11716.399154471468
2025-09-05 15:37:00,11716.399154471468
2025-09-05 15:38:00,11716.399154471468
2025-09-05 15:39:00,11716.399154471468
2025-09-05 15:40:00,11716.399154471468
2025-09-05 15:41:00,11716.399154471468
2025-09-05 15:42:00,11716.399154471468
2025-09-05 15:43:00,11716.399154471468
2025-09-05 15:44:00,11716.399154471468
2025-09-05 15:45:00,11716.399154471468
2025-09-05 15:46:00,11716.399154471468
2025-09-05 15:47:00,11716.399154471468
2025-09-05 15:48:00,11716.399154471468
2025-09-05 15:49:00,11716.399154471468
2025-09-05 15:50:00,11716.399154471468
2025-09-05 15:51:00,11716.399154471468
2025-09-05 15:52:00,11754.2804345764
2025-09-05 15:53:00,11754.2804345764
2025-09-05 15:54:00,11754.2804345764
2025-09-05 15:55:00,11754.2804345764
2025-09-05 15:56:00,11754.2804345764
2025-09-05 15:57:00,11754.2804345764
2025-09-05 15:58:00,11754.2804345764
2025-09-05 15:59:00,11769.221110966839
2025-09-05 16:00:00,11769.221110966839
2025-09-05 16:01:00,11769.221110966839
2025-09-05 16:02:00,11769.221110966839
2025-09-05 16:03:00,11769.221110966839
2025-09-05 16:04:00,11769.221110966839
2025-09-05 16:05:00,11769.221110966839
2025-09-05 16:06:00,11769.221110966839
2025-09-05 16:07:00,11769.221110966839
2025-09-05 16:08:00,11769.221110966839
2025-09-05 16:09:00,11744.617370143698
2025-09-05 16:10:00,11744.617370143698
2025-09-05 16:11:00,11729.674896070635
2025-09-05 16:12:00,11729.674896070635
2025-09-05 16:13:00,11729.674896070635
2025-09-05 16:14:00,11729.674896070635
2025-09-05 16:15:00,11729.674896070635
2025-09-05 16:16:00,11751.351026028782
2025-09-05 16:17:00,11751.351026028782
2025-09-05 16:18:00,11751.351026028782
2025-09-05 16:19:00,11751.351026028782
2025-09-05 16:20:00,11751.351026028782
2025-09-05 16:21:00,11751.351026028782
2025-09-05 16:22:00,11751.351026028782
2025-09-05 16:23:00,11751.351026028782
2025-09-05 16:24:00,11751.351026028782
2025-09-05 16:25:00,11751.351026028782
2025-09-05 16:26:00,11751.351026028782
2025-09-05 16:27:00,11751.351026028782
2025-09-05 16:28:00,11751.351026028782
2025-09-05 16:29:00,11751.351026028782
2025-09-05 16:30:00,11751.351026028782
2025-09-05 16:31:00,11751.351026028782
2025-09-05 16:32:00,11751.351026028782
2025-09-05 16:33:00,11751.351026028782
2025-09-05 16:34:00,11751.351026028782
2025-09-05 16:35:00,11751.351026028782
2025-09-05 16:36:00,11751.351026028782
2025-09-05 16:37:00,11751.351026028782
2025-09-05 16:38:00,11751.351026028782
2025-09-05 16:39:00,11751.351026028782
2025-09-05 16:40:00,11751.351026028782
2025-09-05 16:41:00,11751.351026028782
2025-09-05 16:42:00,11793.289362628215
2025-09-05 16:43:00,11793.289362628215
2025-09-05 16:44:00,11793.289362628215
2025-09-05 16:45:00,11793.289362628215
2025-09-05 16:46:00,11793.289362628215
2025-09-05 16:47:00,11793.289362628215
2025-09-05 16:48:00,11793.289362628215
2025-09-05 16:49:00,11793.289362628215
2025-09-05 16:50:00,11793.289362628215
2025-09-05 16:51:00,11793.289362628215
2025-09-05 16:52:00,11595.133642431105
2025-09-05 16:53:00,11595.133642431105
2025-09-05 16:54:00,11639.177572793387
2025-09-05 16:55:00,11639.177572793387
2025-09-05 16:56:00,11639.177572793387
2025-09-05 16:57:00,11639.177572793387
2025-09-05 16:58:00,11639.177572793387
2025-09-05 16:59:00,11639.177572793387
2025-09-05 17:00:00,11639.177572793387
2025-09-05 17:01:00,11639.177572793387
2025-09-05 17:02:00,11639.177572793387
2025-09-05 17:03:00,11639.177572793387
2025-09-05 17:04:00,11667.282982335417
2025-09-05 17:05:00,11667.282982335417
2025-09-05 17:06:00,11676.536829000746
2025-09-05 17:07:00,11676.536829000746
2025-09-05 17:08:00,11676.536829000746
2025-09-05 17:09:00,11676.536829000746
2025-09-05 17:10:00,11676.536829000746
2025-09-05 17:11:00,11676.536829000746
2025-09-05 17:12:00,11676.536829000746
2025-09-05 17:13:00,11676.536829000746
2025-09-05 17:14:00,11676.536829000746
2025-09-05 17:15:00,11676.536829000746
2025-09-05 17:16:00,11676.536829000746
2025-09-05 17:17:00,11676.536829000746
2025-09-05 17:18:00,11676.536829000746
2025-09-05 17:19:00,11676.536829000746
2025-09-05 17:20:00,11676.536829000746
2025-09-05 17:21:00,11676.536829000746
2025-09-05 17:22:00,11676.536829000746
2025-09-05 17:23:00,11676.536829000746
2025-09-05 17:24:00,11676.536829000746
2025-09-05 17:25:00,11676.536829000746
2025-09-05 17:26:00,11676.536829000746
2025-09-05 17:27:00,11676.536829000746
2025-09-05 17:28:00,11657.777475218854
2025-09-05 17:29:00,11657.777475218854
2025-09-05 17:30:00,11657.777475218854
2025-09-05 17:31:00,11657.777475218854
2025-09-05 17:32:00,11657.777475218854
2025-09-05 17:33:00,11657.777475218854
2025-09-05 17:34:00,11657.777475218854
2025-09-05 17:35:00,11657.777475218854
2025-09-05 17:36:00,11657.777475218854
2025-09-05 17:37:00,11657.777475218854
2025-09-05 17:38:00,11657.777475218854
2025-09-05 17:39:00,11657.777475218854
2025-09-05 17:40:00,11657.777475218854
2025-09-05 17:41:00,11657.777475218854
2025-09-05 17:42:00,11657.777475218854
2025-09-05 17:43:00,11657.777475218854
2025-09-05 17:44:00,11657.777475218854
2025-09-05 17:45:00,11657.777475218854
2025-09-05 17:46:00,11657.777475218854
2025-09-05 17:47:00,11760.844812395026
2025-09-05 17:48:00,11760.844812395026
2025-09-05 17:49:00,11760.844812395026
2025-09-05 17:50:00,11760.844812395026
2025-09-05 17:51:00,11760.844812395026
2025-09-05 17:52:00,11843.932628023975
2025-09-05 17:53:00,11843.932628023975
2025-09-05 17:54:00,11843.932628023975
2025-09-05 17:55:00,11840.908263209483
2025-09-05 17:56:00,11840.908263209483
2025-09-05 17:57:00,11840.908263209483
2025-09-05 17:58:00,11840.908263209483
2025-09-05 17:59:00,11840.908263209483
2025-09-05 18:00:00,11840.908263209483
2025-09-05 18:01:00,11840.908263209483
2025-09-05 18:02:00,11840.908263209483
2025-09-05 18:03:00,11840.908263209483
2025-09-05 18:04:00,11840.908263209483
2025-09-05 18:05:00,11840.908263209483
2025-09-05 18:06:00,11840.908263209483
2025-09-05 18:07:00,11840.908263209483
2025-09-05 18:08:00,11840.908263209483
2025-09-05 18:09:00,11840.908263209483
2025-09-05 18:10:00,11840.908263209483
2025-09-05 18:11:00,11840.908263209483
2025-09-05 18:12:00,11840.908263209483
2025-09-05 18:13:00,11840.908263209483
2025-09-05 18:14:00,11840.908263209483
2025-09-05 18:15:00,11883.333336264328
2025-09-05 18:16:00,11883.333336264328
2025-09-05 18:17:00,11945.382042779647
2025-09-05 18:18:00,11945.382042779647
2025-09-05 18:19:00,11945.382042779647
2025-09-05 18:20:00,11945.382042779647
2025-09-05 18:21:00,11945.382042779647
2025-09-05 18:22:00,11945.382042779647
2025-09-05 18:23:00,11945.382042779647
2025-09-05 18:24:00,11945.382042779647
2025-09-05 18:25:00,11945.382042779647
2025-09-05 18:26:00,11945.382042779647
2025-09-05 18:27:00,11945.382042779647
2025-09-05 18:28:00,11945.382042779647
2025-09-05 18:29:00,11945.382042779647
2025-09-05 18:30:00,11945.382042779647
2025-09-05 18:31:00,11962.67011244561
2025-09-05 18:32:00,11962.67011244561
2025-09-05 18:33:00,11983.737392979177
2025-09-05 18:34:00,11983.737392979177
2025-09-05 18:35:00,12063.12267123874
2025-09-05 18:36:00,12063.12267123874
2025-09-05 18:37:00,12063.12267123874
2025-09-05 18:38:00,12063.12267123874
2025-09-05 18:39:00,12063.12267123874
2025-09-05 18:40:00,12063.12267123874
2025-09-05 18:41:00,12063.12267123874
2025-09-05 18:42:00,12063.12267123874
2025-09-05 18:43:00,12063.12267123874
2025-09-05 18:44:00,12063.12267123874
2025-09-05 18:45:00,12063.12267123874
2025-09-05 18:46:00,12063.12267123874
2025-09-05 18:47:00,12063.12267123874
2025-09-05 18:48:00,12063.12267123874
2025-09-05 18:49:00,12063.12267123874
2025-09-05 18:50:00,12071.788740459606
2025-09-05 18:51:00,12071.788740459606
2025-09-05 18:52:00,12013.586944437931
2025-09-05 18:53:00,12013.586944437931
2025-09-05 18:54:00,11929.437070251903
2025-09-05 18:55:00,11929.437070251903
2025-09-05 18:56:00,11827.269233777883
2025-09-05 18:57:00,11827.269233777883
2025-09-05 18:58:00,11856.060215546542
2025-09-05 18:59:00,11856.060215546542
2025-09-05 19:00:00,11856.060215546542
2025-09-05 19:01:00,11856.060215546542
2025-09-05 19:02:00,11856.060215546542
2025-09-05 19:03:00,11856.060215546542
2025-09-05 19:04:00,11856.060215546542
2025-09-05 19:05:00,11856.060215546542
2025-09-05 19:06:00,11856.060215546542
2025-09-05 19:07:00,11856.060215546542
2025-09-05 19:08:00,11856.060215546542
2025-09-05 19:09:00,11856.060215546542
2025-09-05 19:10:00,11856.060215546542
2025-09-05 19:11:00,11856.060215546542
2025-09-05 19:12:00,11856.060215546542
2025-09-05 19:13:00,11856.060215546542
2025-09-05 19:14:00,11856.060215546542
2025-09-05 19:15:00,11856.060215546542
2025-09-05 19:16:00,11856.060215546542
2025-09-05 19:17:00,11856.060215546542
2025-09-05 19:18:00,11856.060215546542
2025-09-05 19:19:00,11856.060215546542
2025-09-05 19:20:00,11856.060215546542
2025-09-05 19:21:00,11856.060215546542
2025-09-05 19:22:00,11856.060215546542
2025-09-05 19:23:00,11957.350452727771
2025-09-05 19:24:00,11957.350452727771
2025-09-05 19:25:00,11993.6891014619
2025-09-05 19:26:00,11993.6891014619
2025-09-05 19:27:00,11993.6891014619
2025-09-05 19:28:00,11993.6891014619
2025-09-05 19:29:00,11993.6891014619
2025-09-05 19:30:00,11993.6891014619
2025-09-05 19:31:00,11993.6891014619
2025-09-05 19:32:00,11993.6891014619
2025-09-05 19:33:00,11993.6891014619
2025-09-05 19:34:00,11993.6891014619
2025-09-05 19:35:00,11993.6891014619
2025-09-05 19:36:00,11993.6891014619
2025-09-05 19:37:00,11993.6891014619
2025-09-05 19:38:00,12089.722330862669
2025-09-05 19:39:00,12089.722330862669
2025-09-05 19:40:00,12089.722330862669
2025-09-05 19:41:00,12113.250369682144
2025-09-05 19:42:00,12113.250369682144
2025-09-05 19:43:00,12113.250369682144
2025-09-05 19:44:00,12113.250369682144
2025-09-05 19:45:00,12113.250369682144
2025-09-05 19:46:00,12113.250369682144
2025-09-05 19:47:00,12113.250369682144
2025-09-05 19:48:00,12113.250369682144
2025-09-05 19:49:00,12113.250369682144
2025-09-05 19:50:00,12113.250369682144
2025-09-05 19:51:00,12113.250369682144
2025-09-05 19:52:00,12113.250369682144
2025-09-05 19:53:00,12150.671446065258
2025-09-05 19:54:00,12150.671446065258
2025-09-05 19:55:00,11953.457118691884
2025-09-05 19:56:00,11953.457118691884
2025-09-05 19:57:00,11993.559055057802
2025-09-05 19:58:00,11993.559055057802
2025-09-05 19:59:00,11993.559055057802
2025-09-05 20:00:00,11993.559055057802
2025-09-05 20:01:00,11993.559055057802
2025-09-05 20:02:00,11993.559055057802
2025-09-05 20:03:00,11993.559055057802
2025-09-05 20:04:00,11926.904798455098
2025-09-05 20:05:00,11926.904798455098
2025-09-05 20:06:00,11891.67824871151
2025-09-05 20:07:00,11891.67824871151
2025-09-05 20:08:00,11891.67824871151
2025-09-05 20:09:00,11891.67824871151
2025-09-05 20:10:00,11891.67824871151
2025-09-05 20:11:00,11891.67824871151
2025-09-05 20:12:00,11891.67824871151
2025-09-05 20:13:00,11891.67824871151
2025-09-05 20:14:00,11891.67824871151
2025-09-05 20:15:00,11891.67824871151
2025-09-05 20:16:00,11891.67824871151
2025-09-05 20:17:00,11891.67824871151
2025-09-05 20:18:00,11891.67824871151
2025-09-05 20:19:00,11891.67824871151
2025-09-05 20:20:00,11891.67824871151
2025-09-05 20:21:00,11891.67824871151
2025-09-05 20:22:00,11891.67824871151
2025-09-05 20:23:00,11891.67824871151
2025-09-05 20:24:00,11980.847301497137
2025-09-05 20:25:00,11980.847301497137
2025-09-05 20:26:00,11980.847301497137
2025-09-05 20:27:00,12014.798562228872
2025-09-05 20:28:00,12014.798562228872
2025-09-05 20:29:00,12014.798562228872
2025-09-05 20:30:00,12014.798562228872
2025-09-05 20:31:00,12019.20904836947
2025-09-05 20:32:00,12019.20904836947
2025-09-05 20:33:00,12072.094937904287
2025-09-05 20:34:00,12072.094937904287
2025-09-05 20:35:00,12072.094937904287
2025-09-05 20:36:00,12072.094937904287
2025-09-05 20:37:00,12072.094937904287
2025-09-05 20:38:00,12072.094937904287
2025-09-05 20:39:00,12072.094937904287
2025-09-05 20:40:00,12072.094937904287
2025-09-05 20:41:00,12072.094937904287
2025-09-05 20:42:00,12072.094937904287
2025-09-05 20:43:00,12072.094937904287
2025-09-05 20:44:00,12088.707383806093
2025-09-05 20:45:00,12088.707383806093
2025-09-05 20:46:00,12088.707383806093
2025-09-05 20:47:00,12069.430416358111
2025-09-05 20:48:00,12069.430416358111
2025-09-05 20:49:00,12069.430416358111
2025-09-05 20:50:00,12069.430416358111
2025-09-05 20:51:00,12069.430416358111
2025-09-05 20:52:00,12069.430416358111
2025-09-05 20:53:00,12099.214981696952
2025-09-05 20:54:00,12099.214981696952
2025-09-05 20:55:00,12093.616034364111
2025-09-05 20:56:00,12093.616034364111
2025-09-05 20:57:00,12093.616034364111
2025-09-05 20:58:00,12093.616034364111
2025-09-05 20:59:00,12093.616034364111
2025-09-05 21:00:00,12093.616034364111
2025-09-05 21:01:00,12093.616034364111
2025-09-05 21:02:00,12093.616034364111
2025-09-05 21:03:00,12093.616034364111
2025-09-05 21:04:00,12093.616034364111
2025-09-05 21:05:00,12066.917648273116
2025-09-05 21:06:00,12066.917648273116
2025-09-05 21:07:00,12071.108221031043
2025-09-05 21:08:00,12071.108221031043
2025-09-05 21:09:00,12084.83076822325
2025-09-05 21:10:00,12084.83076822325
2025-09-05 21:11:00,12084.83076822325
2025-09-05 21:12:00,12084.83076822325
2025-09-05 21:13:00,12084.83076822325
2025-09-05 21:14:00,12084.83076822325
2025-09-05 21:15:00,12084.83076822325
2025-09-05 21:16:00,12084.83076822325
2025-09-05 21:17:00,12084.83076822325
2025-09-05 21:18:00,12084.83076822325
2025-09-05 21:19:00,12084.83076822325
2025-09-05 21:20:00,12084.83076822325
2025-09-05 21:21:00,12084.83076822325
2025-09-05 21:22:00,12084.83076822325
2025-09-05 21:23:00,12084.83076822325
2025-09-05 21:24:00,12084.83076822325
2025-09-05 21:25:00,12084.83076822325
2025-09-05 21:26:00,12084.83076822325
2025-09-05 21:27:00,12084.83076822325
2025-09-05 21:28:00,12084.83076822325
2025-09-05 21:29:00,12084.83076822325
2025-09-05 21:30:00,12084.83076822325
2025-09-05 21:31:00,12084.83076822325
2025-09-05 21:32:00,12084.83076822325
2025-09-05 21:33:00,12084.83076822325
2025-09-05 21:34:00,12084.83076822325
2025-09-05 21:35:00,12084.83076822325
2025-09-05 21:36:00,12084.83076822325
2025-09-05 21:37:00,12084.83076822325
2025-09-05 21:38:00,12084.83076822325
2025-09-05 21:39:00,12138.417708011597
2025-09-05 21:40:00,12138.417708011597
2025-09-05 21:41:00,12196.637332238044
2025-09-05 21:42:00,12196.637332238044
2025-09-05 21:43:00,11902.192694637519
2025-09-05 21:44:00,11902.192694637519
2025-09-05 21:45:00,11902.192694637519
2025-09-05 21:46:00,11902.192694637519
2025-09-05 21:47:00,11902.192694637519
2025-09-05 21:48:00,11902.192694637519
2025-09-05 21:49:00,11896.462310607354
2025-09-05 21:50:00,11896.462310607354
2025-09-05 21:51:00,11896.462310607354
2025-09-05 21:52:00,11896.462310607354
2025-09-05 21:53:00,11896.462310607354
2025-09-05 21:54:00,11896.462310607354
2025-09-05 21:55:00,11896.462310607354
2025-09-05 21:56:00,11896.462310607354
2025-09-05 21:57:00,11896.462310607354
2025-09-05 21:58:00,11896.462310607354
2025-09-05 21:59:00,11896.462310607354
2025-09-05 22:00:00,11896.462310607354
2025-09-05 22:01:00,11896.462310607354
2025-09-05 22:02:00,11896.462310607354
2025-09-05 22:03:00,11896.462310607354
2025-09-05 22:04:00,11896.462310607354
2025-09-05 22:05:00,11896.462310607354
2025-09-05 22:06:00,11896.462310607354
2025-09-05 22:07:00,11896.462310607354
2025-09-05 22:08:00,11896.462310607354
2025-09-05 22:09:00,11896.462310607354
2025-09-05 22:10:00,11896.462310607354
2025-09-05 22:11:00,11896.462310607354
2025-09-05 22:12:00,11896.462310607354
2025-09-05 22:13:00,11894.944101220242
2025-09-05 22:14:00,11894.944101220242
2025-09-05 22:15:00,11894.944101220242
2025-09-05 22:16:00,11894.944101220242
2025-09-05 22:17:00,11894.944101220242
2025-09-05 22:18:00,11894.944101220242
2025-09-05 22:19:00,11894.944101220242
2025-09-05 22:20:00,11894.944101220242
